#req err ttot tavg oktot okavg bavg btot src
1 0 1 1 1 1 285 285 /base.php
1 0 1 1 1 1 285 285 /base.jsp
1 0 2 2 2 2 285 285 /base.jsa
1 0 1 1 1 1 285 285 /base.jhtml
1 0 2 2 2 2 285 285 /base.inc
1 0 1 1 1 1 285 285 /base.html
1 0 2 2 2 2 285 285 /base.cgi
1 0 1 1 1 1 285 285 /base.cfm
1 0 2 2 2 2 285 285 /base.aspx
1 0 1 1 1 1 285 285 /base.asp
1 0 2 2 2 2 285 285 /autodiscover/autodiscover.json
1 0 2 2 2 2 285 285 /assets/desktop_docs/desktop_overview-1731f1f7e6e4781b848c6e78e426217300c3eceb0ac01e86df92241878e19954.png
336 107 1165482 3468 1165482 5089 44889 15082980 /api/v1/pept2lca.json
1 0 3 3 3 3 285 285 /api/v1
1 0 2 2 2 2 276 276 /administrator/web/index.php
1 0 2 2 2 2 276 276 /administrator/pma/index.php
2 0 2 1 2 1 276 552 /administrator/phpmyadmin/index.php
1 0 2 2 2 2 276 276 /administrator/db/index.php
2 0 4 2 4 2 276 552 /admin/web/index.php
1 0 2 2 2 2 276 276 /admin/sysadmin/index.php
1 0 2 2 2 2 276 276 /admin/sqladmin/index.php
1 0 2 2 2 2 276 276 /admin/pma/index.php
1 0 2 2 2 2 276 276 /admin/phpmyadmin/index.php
1 0 1 1 1 1 276 276 /admin/phpMyAdmin/index.php
1 0 1 1 1 1 276 276 /admin/db/index.php
1 0 2 2 2 2 285 285 /admin.shtml
1 0 2 2 2 2 285 285 /admin.pl
1 0 2 2 2 2 285 285 /admin.php
1 0 1 1 1 1 285 285 /admin.jsp
1 0 2 2 2 2 285 285 /admin.jsa
1 0 2 2 2 2 285 285 /admin.jhtml
1 0 1 1 1 1 285 285 /admin.html
1 0 2 2 2 2 285 285 /admin.cgi
1 0 1 1 1 1 285 285 /admin.cfm
1 0 1 1 1 1 285 285 /admin.aspx
1 0 2 2 2 2 285 285 /admin.asp
1 0 2 2 2 2 285 285 /actuator/health
1 0 2 2 2 2 285 285 /a
1 0 2 2 2 2 276 276 /_phpmyadmin_/index.php
2 0 3 1 3 1 276 552 /_phpmyadmin/index.php
1 0 1 1 1 1 276 276 /_phpMyAdmin/index.php
1 0 1 1 1 1 276 276 /__phpmyadmin/index.php
1 0 2 2 2 2 285 285 /__Additional
1 0 1 1 1 1 285 285 /ZXVT
1 0 1 1 1 1 285 285 /WuEL
1 0 2 2 2 2 285 285 /SiteLoader
1 0 2 2 2 2 285 285 /ReportServer
1 0 2 2 2 2 285 285 /Public/home/js/check.js
1 0 8 8 8 8 285 285 /Portal0000.htm
1 0 10 10 10 10 285 285 /Portal/Portal.mwsl
1 0 2 2 2 2 276 276 /PMA/index.php
1 0 1 1 1 1 276 276 /MyAdmin/index.php
1 0 2 2 2 2 285 285 /HNAP1
2 0 12 6 12 6 285 570 /CSS/Miniweb.css
1 0 2 2 2 2 276 276 /2phpmyadmin/index.php
2 0 2 1 2 1 276 552 /1phpmyadmin/index.php
3 0 10 3 10 3 285 855 /.git/config
1 0 12 12 12 12 285 285 /.git/HEAD
1 0 2 2 2 2 285 285 /.env
49 0 97 1 97 1 291 14285 /
46 46 12610073 274132 0 0 0 0 "<BADREQ>"
